bll; seq; 0066 0304; LATIN SMALL LETTER F WITH COMBINING MACRON; f̄; 0046; F; icao-ext; mapped
bll; char; 0067; LATIN SMALL LETTER G; g; 0047; G; icao-ext; mapped
bll; seq; 0067 0300; LATIN SMALL LETTER G WITH COMBINING GRAVE ACCENT; g̀; 0047; G; icao-ext; mapped
bll; char; 0068; LATIN SMALL LETTER H; h; 0048; H; icao-ext; mapped
bll; seq; 0068 0304; LATIN SMALL LETTER H WITH COMBINING MACRON; h̄; 0048; H; icao-ext; mapped
bll; seq; 0068 0326; LATIN SMALL LETTER H WITH COMBINING COMMA BELOW; h̦; 0048; H; icao-ext; mapped
bll; char; 0069; LATIN SMALL LETTER I; i; 0049; I; icao-ext; mapped
bll; char; 006A; LATIN SMALL LETTER J; j; 004A; J; icao-ext; mapped
bll; seq; 006A 0301; LATIN SMALL LETTER J WITH COMBINING ACUTE ACCENT; j́; 004A; J; icao-ext; mapped
bll; char; 006B; LATIN SMALL LETTER K; k; 004B; K; icao-ext; mapped
bll; seq; 006B 0300; LATIN SMALL LETTER K WITH COMBINING GRAVE ACCENT; k̀; 004B; K; icao-ext; mapped
bll; seq; 006B 0302; LATIN SMALL LETTER K WITH COMBINING CIRCUMFLEX ACCENT; k̂; 004B; K; icao-ext; mapped
bll; seq; 006B 0304; LATIN SMALL LETTER K WITH COMBINING MACRON; k̄; 004B; K; icao-ext; mapped
bll; seq; 006B 0307; LATIN SMALL LETTER K WITH COMBINING DOT ABOVE; k̇; 004B; K; icao-ext; mapped
bll; seq; 006B 0315; LATIN SMALL LETTER K WITH COMBINING COMMA ABOVE RIGHT; k̕; 004B; K; icao-ext; mapped
bll; seq; 006B 031B; LATIN SMALL LETTER K WITH COMBINING HORN; k̛; 004B; K; icao-ext; mapped
bll; seq; 006B 0326; LATIN SMALL LETTER K WITH COMBINING COMMA BELOW; k̦; 004B; K; icao-ext; mapped
bll; seq; 006B 035F 0068; LATIN SMALL LETTER K WITH COMBINING DOUBLE MACRON BELOW AND LATIN SMALL LETTER H; k͟h; 004B 0048; KH; icao-ext; mapped
bll; char; 006C; LATIN SMALL LETTER L; l; 004C; L; icao-ext; mapped
bll; seq; 006C 0302; LATIN SMALL LETTER L WITH COMBINING CIRCUMFLEX ACCENT; l̂; 004C; L; icao-ext; mapped
bll; seq; 006C 0325; LATIN SMALL LETTER L WITH COMBINING RING BELOW; l̥; 004C; L; icao-ext; mapped
bll; seq; 006C 0325 0304; LATIN SMALL LETTER L WITH COMBINING RING BELOW AND COMBINING MACRON; l̥̄; 004C; L; icao-ext; mapped
bll; seq; 006C 0326; LATIN SMALL LETTER L WITH COMBINING COMMA BELOW; l̦; 004C; L; icao-ext; mapped
bll; char; 006D; LATIN SMALL LETTER M; m; 004D; M; icao-ext; mapped
bll; seq; 006D 0300; LATIN SMALL LETTER M WITH COMBINING GRAVE ACCENT; m̀; 004D; M; icao-ext; mapped
bll; seq; 006D 0302; LATIN SMALL LETTER M WITH COMBINING CIRCUMFLEX ACCENT; m̂; 004D; M; icao-ext; mapped
bll; seq; 006D 0306; LATIN SMALL LETTER M WITH COMBINING BREVE; m̆; 004D; M; icao-ext; mapped
bll; seq; 006D 0310; LATIN SMALL LETTER M WITH COMBINING CANDRABINDU; m̐; 004D; M; icao-ext; mapped
bll; char; 006E; LATIN SMALL LETTER N; n; 004E; N; icao-ext; mapped
bll; seq; 006E 0302; LATIN SMALL LETTER N WITH COMBINING CIRCUMFLEX ACCENT; n̂; 004E; N; icao-ext; mapped
bll; seq; 006E 0304; LATIN SMALL LETTER N WITH COMBINING MACRON; n̄; 004E; N; icao-ext; mapped
bll; seq; 006E 0306; LATIN SMALL LETTER N WITH COMBINING BREVE; n̆; 004E; N; icao-ext; mapped
bll; seq; 006E 0326; LATIN SMALL LETTER N WITH COMBINING COMMA BELOW; n̦; 004E; N; icao-ext; mapped
bll; char; 006F; LATIN SMALL LETTER O; o; 004F; O; icao-ext; mapped
bll; char; 0070; LATIN SMALL LETTER P; p; 0050; P; icao-ext; mapped
bll; seq; 0070 0300; LATIN SMALL LETTER P WITH COMBINING GRAVE ACCENT; p̀; 0050; P; icao-ext; mapped
bll; seq; 0070 0304; LATIN SMALL LETTER P WITH COMBINING MACRON; p̄; 0050; P; icao-ext; mapped
bll; seq; 0070 0315; LATIN SMALL LETTER P WITH COMBINING COMMA ABOVE RIGHT; p̕; 0050; P; icao-ext; mapped
bll; seq; 0070 0323; LATIN SMALL LETTER P WITH COMBINING DOT BELOW; p̣; 0050; P; icao-ext; mapped
bll; char; 0071; LATIN SMALL LETTER Q; q; 0051; Q; icao-ext; mapped
bll; char; 0072; LATIN SMALL LETTER R; r; 0052; R; icao-ext; mapped
bll; seq; 0072 0306; LATIN SMALL LETTER R WITH COMBINING BREVE; r̆; 0052; R; icao-ext; mapped
bll; seq; 0072 0325; LATIN SMALL LETTER R WITH COMBINING RING BELOW; r̥; 0052; R; icao-ext; mapped
bll; seq; 0072 0325 0304; LATIN SMALL LETTER R WITH COMBINING RING BELOW AND COMBINING MACRON; r̥̄; 0052; R; icao-ext; mapped
bll; char; 0073; LATIN SMALL LETTER S; s; 0053; S; icao-ext; mapped
bll; seq; 0073 0300; LATIN SMALL LETTER S WITH COMBINING GRAVE ACCENT; s̀; 0053; S; icao-ext; mapped
